id;zwmc;gsmc;gzdd;xz_low;xz_height;ptime;href;jhi_cluster
1;mobile Fish;Home Loan Account Table Computer;Trace;33370;60111;2019-05-16T08:58:48;deposit Tasty Metal Bacon Implementation;77
2;Officer;methodology Albania;Home Namibia;39986;13949;2019-05-16T11:17:20;Coordinator;23277
3;Licensed Savings Account;Cambridgeshire Mississippi;HDD;68030;17052;2019-05-16T01:35:49;Automotive;94220
4;South Dakota envisioneer Music;Nakfa;Bahamian Dollar Investment Account;83319;3438;2019-05-16T08:14:53;incentivize Tuna copy;42515
5;sky blue Georgia;Facilitator;Views e-enable Communications;72727;92187;2019-05-16T04:34:19;Georgia;52083
6;Tactics;scale interactive generating;Specialist Home Loan Account;27599;14092;2019-05-16T05:17:54;Car Industrial deliverables;39488
7;24 hour;overriding;monitor 1080p Checking Account;92630;35846;2019-05-15T20:46:59;Internal;85003
8;Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;38292;11959;2019-05-15T13:05:17;synthesizing hard drive Robust;25606
9;Sleek Metal Table Small;Intelligent Outdoors;Harbor Montana;69551;90756;2019-05-16T09:03:54;Investment Account;53984
10;white Brand Money Market Account;Salad Web virtual;Refined Squares;21844;18657;2019-05-16T02:24:46;EXE projection Fresh;35629
